Latitude,Longitude,STATEFP,STATEFP (SORTED),STATEFP(NON-REFERENCE),STATE,SOYBEAN MATURITY GROUP,,,,Number,State,MATURITY GROUP
25.646308,-81.25,10,10,1,ALABAMA,5,,,,1,ALABAMA,5
25.646308,-80.625,10,10,1,ALABAMA,5,,,,2,ALASKA,
26.271308,-98.125,12,12,1,ALABAMA,5,,,,4,ARIZONA,5
26.271308,-97.5,12,12,1,ALABAMA,5,,,,5,ARKANSAS,5
26.271308,-81.25,12,12,1,ALABAMA,5,,,,6,CALIFORNIA,5
26.271308,-80.625,12,12,1,ALABAMA,5,,,,8,COLORADO,2
26.896308,-98.75,12,12,1,ALABAMA,5,,,,9,CONNECTICUT,3
26.896308,-98.125,12,12,1,ALABAMA,5,,,,10,DELAWARE,3
26.896308,-97.5,12,12,1,ALABAMA,5,,,,11,DISTRICT OF COLUMBIA,3
26.896308,-81.875,12,12,1,ALABAMA,5,,,,12,FLORIDA,6
26.896308,-81.25,12,12,1,ALABAMA,5,,,,13,GEORGIA,5
26.896308,-80.625,12,12,1,ALABAMA,5,,,,15,HAWAII,
27.521308,-99.375,12,12,1,ALABAMA,5,,,,16,IDAHO,
27.521308,-98.75,12,12,1,ALABAMA,5,,,,17,ILLINOIS,3
27.521308,-98.125,12,12,1,ALABAMA,5,,,,18,INDIANA,3
27.521308,-97.5,12,12,1,ALABAMA,5,,,,19,IOWA,3
27.521308,-82.5,12,12,1,ALABAMA,5,,,,20,KANSAS,3
27.521308,-81.875,12,12,1,ALABAMA,5,,,,21,KENTUCKY,4
27.521308,-81.25,12,12,1,ALABAMA,5,,,,22,LOUISIANA,5
27.521308,-80.625,12,12,1,ALABAMA,5,,,,23,MAINE,1
28.146308,-100,12,12,1,ALABAMA,5,,,,24,MARYLAND,3
28.146308,-99.375,12,12,1,ALABAMA,5,,,,25,MASSACHUSETTS,3
28.146308,-98.75,12,12,1,ALABAMA,5,,,,26,MICHIGAN,2
28.146308,-98.125,12,12,1,ALABAMA,5,,,,27,MINNESOTA,1
28.146308,-97.5,12,12,1,ALABAMA,5,,,,28,MISSISSIPPI,5
28.146308,-96.875,12,12,1,ALABAMA,5,,,,29,MISSOURI,3
28.146308,-82.5,12,12,1,ALABAMA,5,,,,30,MONTANA,0
28.146308,-81.875,12,12,1,ALABAMA,5,,,,31,NEBRASKA,2
28.146308,-81.25,12,12,1,ALABAMA,5,,,,32,NEVADA,
28.146308,-80.625,12,12,1,ALABAMA,5,,,,33,NEW HAMPSHIRE,1
28.771308,-100,12,12,1,ALABAMA,5,,,,34,NEW JERSEY,3
28.771308,-99.375,12,12,4,ARIZONA,5,,,,35,NEW MEXICO,5
28.771308,-98.75,12,12,4,ARIZONA,5,,,,36,NEW YORK,1
28.771308,-98.125,12,12,4,ARIZONA,5,,,,37,NORTH CAROLINA,5
28.771308,-97.5,12,12,4,ARIZONA,5,,,,38,NORTH DAKOTA,0
28.771308,-96.875,12,12,4,ARIZONA,5,,,,39,OHIO,3
28.771308,-96.25,12,12,4,ARIZONA,5,,,,40,OKLAHOMA,4
28.771308,-95.625,13,13,4,ARIZONA,5,,,,41,OREGON,
28.771308,-82.5,13,13,4,ARIZONA,5,,,,42,PENNSYLVANIA,3
28.771308,-81.875,13,13,4,ARIZONA,5,,,,44,RHODE ISLAND,3
28.771308,-81.25,13,13,4,ARIZONA,5,,,,45,SOUTH CAROLINA,5
29.396308,-103.75,13,13,4,ARIZONA,5,,,,46,SOUTH DAKOTA,1
29.396308,-103.125,13,13,4,ARIZONA,5,,,,47,TENNESSEE,5
29.396308,-100.625,13,13,4,ARIZONA,5,,,,48,TEXAS,5
29.396308,-100,13,13,4,ARIZONA,5,,,,49,UTAH,
29.396308,-99.375,13,13,4,ARIZONA,5,,,,50,VERMONT,1
29.396308,-98.75,13,13,4,ARIZONA,5,,,,51,VIRGINIA,4
29.396308,-98.125,13,13,4,ARIZONA,5,,,,53,WASHINGTON,
29.396308,-97.5,13,13,4,ARIZONA,5,,,,54,WEST VIRGINIA,3
29.396308,-96.875,13,13,4,ARIZONA,5,,,,55,WISCONSIN,1
29.396308,-96.25,13,13,4,ARIZONA,5,,,,56,WYOMING,
29.396308,-95.625,13,13,4,ARIZONA,5,,,,,,
29.396308,-95,13,13,4,ARIZONA,5,,,,,,
29.396308,-91.25,13,13,4,ARIZONA,5,,,,,,
29.396308,-90.625,13,13,4,ARIZONA,5,,,,,,
29.396308,-90,13,13,4,ARIZONA,5,,,,,,
29.396308,-83.125,13,13,4,ARIZONA,5,,,,,,
29.396308,-82.5,13,13,4,ARIZONA,5,,,,,,
29.396308,-81.875,13,13,4,ARIZONA,5,,,,,,
29.396308,-81.25,13,13,4,ARIZONA,5,,,,,,
30.021308,-104.375,13,13,4,ARIZONA,5,,,,,,
30.021308,-103.75,13,13,4,ARIZONA,5,,,,,,
